## impedance in 1000*mV/pA=MOhm or admittance in 1000*pA/mV=pS, then phase in Rd
 9.29911975673420E-0001	 1.66557455117877E+0002	 6.57551099615720E-0002
 5.83899311868826E-0001	 1.67771345176877E+0002	 6.64190376367990E-0002
 2.06919310521118E+0001	 8.62030845858870E+0001	 7.26758609359912E+0000
 6.98594736167643E+0000	 1.47628515689465E+0002	 1.30901141575395E+0001
 2.41640086051306E+0001	 7.73889719955298E+0001	 1.36103916259393E+0001
 7.96294803548532E-0001	 1.73122704155955E+0002	 5.66275568971563E-0002
 2.35857448090293E+0000	 1.70526176019436E+0002	 1.80981947361763E-0001
 5.37685300415571E+0002	 5.77240586374343E+0000	 1.89825127072261E+0000
 2.89105482282983E+0002	 9.82412421751537E+0000	-4.66871129872749E+0000
 5.12258756311989E+0000	 1.57998835263864E+0002	 4.09057362128862E-0001
 6.12881816164451E+0001	 3.60261655523531E+0001	 7.56438633352267E+0000
 8.35819798860761E+0001	 2.77664213213763E+0001	 7.62210257215998E+0000
 2.82186959930563E+0001	 6.84826299554476E+0001	 1.36699084877939E+0001
 5.00000000000000E-0001	 1.72478197145504E+0002	 3.23784693795358E-0002
 5.98215070618702E+0000	 1.54574705110504E+0002	 6.74890475414849E+0000
 1.55447768093114E+0002	 1.65356319422498E+0001	 7.72757419074179E+0000
 2.75434003278119E+0000	 1.72206107900981E+0002	 2.22806351730209E-0001
 1.72947256500169E+0000	 1.73564118371144E+0002	 1.44087464120423E-0001
 3.21651449958739E+0000	 1.69181444708968E+0002	 2.72818460072056E-0001
 2.11992457328965E+0002	 1.27440212482559E+0001	 1.52040677294704E+0000
 1.51727780323621E+0001	 1.05663766372682E+0002	 2.60013923615698E+0001
 3.75624120585036E+0000	 1.67797058563392E+0002	 3.15800520930750E-0001
 8.15817971446942E+0000	 1.41703504171258E+0002	 5.93743081479863E-0001
 1.08594992538858E+0000	 1.75279076574526E+0002	 9.47547381472993E-0002
 1.77187493044694E+0001	 9.62948645805633E+0001	 9.36376996330808E-0001
 1.13985228104759E+0002	 2.13742059869005E+0001	 4.53698051170391E+0001
 4.49408019643730E+0001	 4.69336121676274E+0001	 1.37871370939624E+0001
 7.15722541430679E+0001	 3.16209503620965E+0001	 5.78631289532791E+0001
 6.81876812801777E-0001	 1.74476676816571E+0002	 6.92106569083855E-0002
 3.94268649645282E+0002	 7.52910749687902E+0000	 8.02188905427298E+0000
 1.26817082831679E+0000	 1.75146317617213E+0002	 1.11837793750389E-0001
 9.52711104276182E+0000	 1.33985531782987E+0002	 6.94779697290631E+0000
 2.47564499911528E+0002	 1.11564556475948E+0001	 2.66979700128266E+0001
 1.11257471639330E+0001	 1.25949893876331E+0002	 3.21547608812499E+0001
 3.84833489703350E+0001	 5.31954904419281E+0001	 3.26022648607837E+0001
 5.24818066836612E+0001	 4.10108665313590E+0001	 7.53888923349175E+0000
 3.29537543443624E+0001	 6.06548260582080E+0001	 1.15152104445424E+0000
 3.37616984325078E+0002	 8.58784385117887E+0000	 3.30876937085023E+0001
 1.29926322260941E+0001	 1.16645070133905E+0002	 7.09425806786024E+0000
 1.48096814797259E+0000	 1.77781192733952E+0002	 1.38780967662165E-0001
 6.27908153829270E+0002	 5.01775245523100E+0000	 1.98471294823687E+0000
 7.33270277875471E+0002	 4.36339793032576E+0000	 2.08886525093239E+0000
 4.60426386438663E+0002	 6.57193549872974E+0000	 1.81053156519836E+0000
 1.81531689642228E+0002	 1.44576192387987E+0001	 1.48113423418008E+0000
 9.76069210802278E+0001	 2.43033722638245E+0001	 1.36413746700145E+0000
 4.38653331061871E+0000	 1.67221751843174E+0002	 6.65286733506266E+0000
 8.56312021330701E+0002	 3.79441465448851E+0000	 2.20207642053547E+0000
 1.33111792507161E+0002	 1.87063233187087E+0001	 1.41822940485539E+0000
 1.00000000000000E+0003	 3.30149711806531E+0000	 2.32782725788243E+0000
