## impedance in 1000*mV/pA=MOhm or admittance in 1000*pA/mV=pS, then phase in Rd
 9.22460309099571E-0001	 3.60451862643745E+0002	 1.14881861597262E-0001
 2.44134108375502E+0001	 1.23370875451919E+0002	 1.35619983484424E+0001
 2.00000000000000E-0001	 3.63289001580615E+0002	 1.88307257217721E-0002
 1.57738494032421E+0001	 1.66753644354248E+0002	 7.21482601914697E+0000
 3.35562233478243E+0002	 1.95505685360060E+0001	 2.66609240985818E+0001
 1.26792132273617E+0001	 1.96984782002675E+0002	 7.15010723594413E+0000
 3.09542841616482E-0001	 3.69769157813357E+0002	-1.01030919535971E-0002
 4.17463453085470E+0002	 1.64723852736807E+0001	 8.95862291723236E+0001
 1.12602012536906E+0002	 4.43854111094871E+0001	 1.45709988001019E+0002
 3.85093465970997E-0001	 3.83186447765320E+0002	 2.69737246054019E-0003
 3.03720316919954E+0001	 1.06281886676715E+0002	 1.51821706430637E+0002
 2.74899919319848E+0000	 3.52616856568569E+0002	 3.40266548809963E-0001
 1.14760669572181E+0000	 3.81080123465941E+0002	 1.59594263998831E-0001
 9.05108759623410E+0001	 5.11682999117940E+0001	 5.14266986693938E+0001
 4.70072249780305E+0001	 7.94091370767958E+0001	 3.87673458650443E+0001
 2.16811496415736E+0002	 2.77374438628515E+0001	 5.16431797492692E+0001
 2.69729030660447E+0002	 2.35021273852129E+0001	 1.52243137771083E+0002
 1.01917067898379E+0001	 2.07890911991350E+0002	 1.96676315153612E+0001
 5.29310813630139E+0000	 3.01323832740667E+0002	 2.57035087831825E+0001
 3.41995189335339E+0000	 3.38514482042660E+0002	 3.94278488433662E-0001
 2.48814324996164E-0001	 3.72662827358426E+0002	 5.03635198370169E-0003
 8.03812240324522E+0002	 9.45800534609370E+0000	 2.08454878670116E+0001
 4.79083853980034E-0001	 3.77342601226211E+0002	 2.16540632744299E-0002
 6.46114117695528E+0002	 1.14421520339318E+0001	 3.95489296279785E+0001
 7.27537499810243E+0001	 6.00057841334623E+0001	 1.07929995202032E+0002
 7.41484887667778E-0001	 3.77482592064371E+0002	 1.00756524229973E-0001
 4.25466510932038E+0000	 3.30906699244209E+0002	 6.76224742497704E+0000
 5.84803547642573E+0001	 6.85534035657305E+0001	 2.64976266439139E+0002
 5.96014628723013E-0001	 3.56904179276044E+0002	 1.16783374012907E-0001
 1.40084968712900E+0002	 3.86148746100206E+0001	 5.77951275365497E+0001
 1.74275734662045E+0002	 3.32916816886099E+0001	 3.90005461131088E+0001
 1.77616718825916E+0000	 3.71563243848060E+0002	 2.24489356596225E-0001
 8.19221866747028E+0000	 2.49517220479613E+0002	 5.10059005435236E+0001
 2.20967920013518E+0000	 3.77414613710432E+0002	 3.05894836214161E-0001
 1.96237984592942E+0001	 1.42865439687913E+0002	 7.26189985732167E+0000
 5.19354436450144E+0002	 1.38532800394731E+0001	 6.45633043101206E+0001
 1.42770492678550E+0000	 3.76951442503496E+0002	 1.90099134341400E-0001
 6.58500564032766E+0000	 2.83659155866603E+0002	 6.56466093360620E-0001
 1.00000000000000E+0003	 7.88968144771092E+0000	 1.47273873710441E+0001
